"","Ticket.Number","Citation.Issue.Date","Violation","Fine.Amount","Citation.Status","Amount.Paid","Amount.Due","Citation.Issue.Month","Paid.On.Time","Latitude","Longitude","Citation.Issue.Year","Citation.Issue.DayOfWeek","Citation.Issue.Weekday","Citation.Issue.Hour","Citation.Issue.MonthYear"
"186",975990293,2009-02-19,"BUS ZONE",250,"Open",4,335,"Feb","0",37.786792102,-122.413269318,2009,"Thurs","Weekday",15,"Feb-2009"
"187",100002557,2009-02-19,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7871552784,-122.410422646,2009,"Thurs","Weekday",9,"Feb-2009"
"188",100002558,2009-02-19,"DBL PARK",75,"Closed",4,0,"Feb","1",37.7868882944,-122.412515393,2009,"Thurs","Weekday",9,"Feb-2009"
"189",100002559,2009-02-19,"BUS ZONE",250,"Open",4,335,"Feb","0",37.78662699,-122.414563324,2009,"Thurs","Weekday",16,"Feb-2009"
"190",100002560,2009-02-20,"TWAWY ZONE",70,"Closed",154,0,"Feb","1",37.7859997976,-122.41949436,2009,"Fri","Weekday",15,"Feb-2009"
"191",975990304,2009-02-22,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7849896612,-122.403418282,2009,"Sun","Weekend",9,"Feb-2009"
"192",975990315,2009-02-22,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7850782254,-122.403698643,2009,"Sun","Weekend",11,"Feb-2009"
"193",975990326,2009-02-22,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7846468678,-122.404245066,2009,"Sun","Weekend",13,"Feb-2009"
"194",975990330,2009-02-22,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7861909258,-122.402289085,2009,"Sun","Weekend",17,"Feb-2009"
"195",100002561,2009-02-22,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7869490436,-122.412039237,2009,"Sun","Weekend",11,"Feb-2009"
"196",100002562,2009-02-22,"TWAWY ZN#1",70,"Closed",154,0,"Feb","1",37.7856966143,-122.413208419,2009,"Sun","Weekend",16,"Feb-2009"
"197",100002563,2009-02-22,"TWAWY ZN#1",70,"Closed",25,0,"Feb","1",37.7839468503,-122.404837244,2009,"Sun","Weekend",17,"Feb-2009"
"198",100002564,2009-02-22,"TWAWY ZONE",70,"Closed",154,0,"Feb","1",37.785991811,-122.41955769,2009,"Sun","Weekend",13,"Feb-2009"
"199",975990341,2009-02-23,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7944275934,-122.398443979,2009,"Mon","Weekday",9,"Feb-2009"
"201",100002565,2009-02-24,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7870709047,-122.411084038,2009,"Tues","Weekday",11,"Feb-2009"
"202",100002566,2009-02-24,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7858373298,-122.412088948,2009,"Tues","Weekday",15,"Feb-2009"
"203",975990363,2009-02-25,"DBL PARK",75,"Open",4,160,"Feb","0",37.7870869758,-122.410958058,2009,"Wed","Weekday",10,"Feb-2009"
"204",975990385,2009-02-26,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7935291457,-122.40552873,2009,"Thurs","Weekday",10,"Feb-2009"
"205",100002568,2009-02-26,"DBL PARK",75,"Closed",156,0,"Feb","1",37.790955574,-122.395960019,2009,"Thurs","Weekday",13,"Feb-2009"
"206",100004000,2009-02-26,"BUS ZONE",250,"Closed",90,0,"Feb","1",37.7911508429,-122.393964119,2009,"Thurs","Weekday",16,"Feb-2009"
"207",975990396,2009-02-27,"TWAWY ZN#1",70,"Closed",154,0,"Feb","1",37.7862201252,-122.417751476,2009,"Fri","Weekday",11,"Feb-2009"
"209",100004001,2009-03-01,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7944701738,-122.404173897,2009,"Sun","Weekend",16,"Mar-2009"
"210",100004002,2009-03-01,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7869447445,-122.412072935,2009,"Sun","Weekend",11,"Mar-2009"
"211",100004003,2009-03-01,"TWAWY ZONE",70,"Closed",154,0,"Mar","1",37.7866149082,-122.414658007,2009,"Sun","Weekend",15,"Mar-2009"
"212",100004008,2009-03-01,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7856831063,-122.406005973,2009,"Sun","Weekend",13,"Mar-2009"
"213",100002569,2009-03-02,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7782709284,-122.412269762,2009,"Mon","Weekday",10,"Mar-2009"
"214",100002570,2009-03-02,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7871834021,-122.410202182,2009,"Mon","Weekday",12,"Mar-2009"
"215",100002571,2009-03-02,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7871070656,-122.410800584,2009,"Mon","Weekday",12,"Mar-2009"
"216",100002572,2009-03-02,"TWAWY ZONE",70,"Closed",4,0,"Mar","1",37.7857085331,-122.413113602,2009,"Mon","Weekday",13,"Mar-2009"
"217",100004004,2009-03-02,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.7878236376,-122.411586413,2009,"Mon","Weekday",10,"Mar-2009"
"218",100004005,2009-03-02,"BUS ZONE",250,"Closed",115,0,"Mar","1",37.788430132,-122.415450503,2009,"Mon","Weekday",15,"Mar-2009"
"219",100004006,2009-03-02,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.790356582,-122.400238632,2009,"Mon","Weekday",17,"Mar-2009"
"221",100002573,2009-03-03,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7880490649,-122.399641701,2009,"Tues","Weekday",15,"Mar-2009"
"222",100002574,2009-03-03,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.7899711157,-122.397452433,2009,"Tues","Weekday",19,"Mar-2009"
"223",100004009,2009-03-03,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7943064995,-122.399394287,2009,"Tues","Weekday",15,"Mar-2009"
"224",954075964,2009-03-04,"TWAWY ZONE",70,"Closed",166,0,"Mar","1",37.7852827844,-122.416497459,2009,"Wed","Weekday",11,"Mar-2009"
"225",954075990,2009-03-04,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.78662699,-122.414563324,2009,"Wed","Weekday",12,"Mar-2009"
"226",954076001,2009-03-04,"BUS ZONE",250,"Closed",4,0,"Mar","1",37.7866350444,-122.414500202,2009,"Wed","Weekday",12,"Mar-2009"
"227",954076012,2009-03-04,"BUS ZONE",250,"Closed",4,0,"Mar","1",37.786610881,-122.414689567,2009,"Wed","Weekday",16,"Mar-2009"
"228",954076023,2009-03-04,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7871231363,-122.410674605,2009,"Wed","Weekday",10,"Mar-2009"
"229",100004013,2009-03-04,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7883173113,-122.41633243,2009,"Wed","Weekday",13,"Mar-2009"
"230",100004014,2009-03-04,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.7882279656,-122.417029098,2009,"Wed","Weekday",13,"Mar-2009"
"231",954076060,2009-03-05,"BUS ZONE",250,"Closed",4,0,"Mar","1",37.7874135496,-122.408397899,2009,"Thurs","Weekday",10,"Mar-2009"
"232",954076071,2009-03-05,"BUS ZONE",250,"Closed",115,0,"Mar","1",37.7879872831,-122.403899026,2009,"Thurs","Weekday",15,"Mar-2009"
"233",954076082,2009-03-05,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.786966241,-122.411904443,2009,"Thurs","Weekday",15,"Mar-2009"
"234",954076056,2009-03-06,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7869619419,-122.411938142,2009,"Fri","Weekday",19,"Mar-2009"
"235",954076104,2009-03-08,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7892914419,-122.407027628,2009,"Sun","Weekend",10,"Mar-2009"
"236",954076115,2009-03-08,"DBL PARK",75,"Closed",4,0,"Mar","1",37.7893089645,-122.407031229,2009,"Sun","Weekend",10,"Mar-2009"
"237",100004015,2009-03-08,"BUS ZONE",250,"Closed",4,0,"Mar","1",37.7878158657,-122.399937076,2009,"Sun","Weekend",10,"Mar-2009"
"238",100004016,2009-03-08,"TWAWY ZN#1",70,"Closed",154,0,"Mar","1",37.7863726008,-122.407829758,2009,"Sun","Weekend",16,"Mar-2009"
"239",954076126,2009-03-09,"DBL PARK",75,"Closed",156,0,"Mar","1",37.781332879,-122.408147442,2009,"Mon","Weekday",10,"Mar-2009"
"240",954076130,2009-03-09,"BUS ZONE",250,"Closed",115,0,"Mar","1",37.7762945065,-122.414526785,2009,"Mon","Weekday",15,"Mar-2009"
"241",100002213,2009-03-09,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7777766791,-122.412650266,2009,"Mon","Weekday",15,"Mar-2009"
"242",100002214,2009-03-09,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.789984515,-122.397435459,2009,"Mon","Weekday",15,"Mar-2009"
"243",100004017,2009-03-09,"BUS ZONE",250,"Open",4,335,"Mar","0",37.7793219575,-122.41069373,2009,"Mon","Weekday",14,"Mar-2009"
"244",100004018,2009-03-09,"DBL PARK",75,"Closed",4,0,"Mar","1",37.7937068954,-122.404132054,2009,"Mon","Weekday",17,"Mar-2009"
"245",100002215,2009-03-10,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.7761021558,-122.415007823,2009,"Tues","Weekday",10,"Mar-2009"
"246",100002216,2009-03-10,"DBL PARK",75,"Open",4,160,"Mar","0",37.7764627078,-122.414313837,2009,"Tues","Weekday",12,"Mar-2009"
"247",100002217,2009-03-10,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.7846127321,-122.40389576,2009,"Tues","Weekday",12,"Mar-2009"
"248",100004019,2009-03-10,"TWAWY ZN#1",70,"Closed",154,0,"Mar","1",37.7866991053,-122.405231107,2009,"Tues","Weekday",11,"Mar-2009"
"249",100004020,2009-03-10,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7871070656,-122.410800584,2009,"Tues","Weekday",15,"Mar-2009"
"250",100004021,2009-03-10,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7862361775,-122.417625709,2009,"Tues","Weekday",15,"Mar-2009"
"251",100004022,2009-03-10,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7856727757,-122.413398054,2009,"Tues","Weekday",14,"Mar-2009"
"252",100004023,2009-03-10,"DBL PARK",75,"Closed",156,0,"Mar","1",37.786481671,-122.415702109,2009,"Tues","Weekday",15,"Mar-2009"
"253",100002218,2009-03-11,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.7850544166,-122.41829793,2009,"Wed","Weekday",10,"Mar-2009"
"254",100002219,2009-03-11,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7879485879,-122.404202494,2009,"Wed","Weekday",11,"Mar-2009"
"255",100002220,2009-03-11,"DBL PARK",75,"Closed",8,0,"Mar","1",37.7768038636,-122.41388192,2009,"Wed","Weekday",14,"Mar-2009"
"256",100004012,2009-03-11,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7867453228,-122.4015382,2009,"Wed","Weekday",10,"Mar-2009"
"257",100004024,2009-03-11,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7879718057,-122.404020414,2009,"Wed","Weekday",11,"Mar-2009"
"258",100000488,2009-03-12,"DBL PARK",75,"Closed",4,0,"Mar","1",37.7909334961,-122.396233342,2009,"Thurs","Weekday",12,"Mar-2009"
"259",100045000,2009-03-12,"BUS ZONE",250,"Closed",4,0,"Mar","1",37.7879516894,-122.400010375,2009,"Thurs","Weekday",11,"Mar-2009"
"260",100045001,2009-03-12,"DBL PARK",75,"Closed",4,0,"Mar","1",37.774818523,-122.416378002,2009,"Thurs","Weekday",13,"Mar-2009"
"261",100029915,2009-03-15,"DBL PARK",75,"Open",4,160,"Mar","0",37.7855456348,-122.414409442,2009,"Sun","Weekend",17,"Mar-2009"
"262",100029917,2009-03-15,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.78662699,-122.414563324,2009,"Sun","Weekend",17,"Mar-2009"
"263",100045002,2009-03-15,"TWAWY ZN#1",70,"Closed",25,0,"Mar","1",37.784249783,-122.407551416,2009,"Sun","Weekend",13,"Mar-2009"
"264",100045003,2009-03-15,"BUS ZONE",250,"Open",4,335,"Mar","0",37.790344351,-122.400353866,2009,"Sun","Weekend",10,"Mar-2009"
"265",100045004,2009-03-16,"BUS ZONE",250,"Open",4,335,"Mar","0",37.7811979606,-122.408318286,2009,"Mon","Weekday",10,"Mar-2009"
"266",100045005,2009-03-16,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7870909938,-122.410926563,2009,"Mon","Weekday",13,"Mar-2009"
"267",100045006,2009-03-16,"DBL PARK",75,"Closed",4,0,"Mar","1",37.7870950117,-122.410895068,2009,"Mon","Weekday",9,"Mar-2009"
"268",100045008,2009-03-16,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7862033383,-122.40917673,2009,"Mon","Weekday",14,"Mar-2009"
"269",100045009,2009-03-16,"DBL PARK",75,"Closed",27,0,"Mar","1",37.7769158807,-122.413985363,2009,"Mon","Weekday",9,"Mar-2009"
"270",100045010,2009-03-17,"BUS ZONE",250,"Closed",115,0,"Mar","1",37.7762197501,-122.414621428,2009,"Tues","Weekday",9,"Mar-2009"
"271",100045011,2009-03-17,"BUS ZONE",250,"Closed",4,0,"Mar","1",37.7743191877,-122.417311068,2009,"Tues","Weekday",9,"Mar-2009"
"272",100045012,2009-03-17,"DBL PARK",75,"Closed",4,0,"Mar","1",37.7852752727,-122.403449031,2009,"Tues","Weekday",17,"Mar-2009"
"274",100045014,2009-03-17,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7779085543,-122.412728567,2009,"Tues","Weekday",10,"Mar-2009"
"275",100002221,2009-03-18,"DBL PARK",75,"Closed",8,0,"Mar","1",37.7868252657,-122.413009392,2009,"Wed","Weekday",10,"Mar-2009"
"276",100002222,2009-03-18,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.7880027613,-122.403777639,2009,"Wed","Weekday",12,"Mar-2009"
"277",100002223,2009-03-18,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7871432248,-122.41051713,2009,"Wed","Weekday",14,"Mar-2009"
"278",100002224,2009-03-18,"DBL PARK",75,"Closed",27,0,"Mar","1",37.7861998138,-122.409204776,2009,"Wed","Weekday",17,"Mar-2009"
"279",100029919,2009-03-18,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7936750825,-122.404365999,2009,"Wed","Weekday",9,"Mar-2009"
"280",100045015,2009-03-18,"DBL PARK",75,"Closed",156,0,"Mar","1",37.785471485,-122.403200474,2009,"Wed","Weekday",14,"Mar-2009"
"281",100045016,2009-03-18,"DBL PARK",75,"Closed",4,0,"Mar","1",37.7853079742,-122.403407605,2009,"Wed","Weekday",14,"Mar-2009"
"283",100045017,2009-03-19,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7840166857,-122.399102603,2009,"Thurs","Weekday",12,"Mar-2009"
"284",100029921,2009-03-22,"BUS ZONE",250,"Closed",98,0,"Mar","1",37.7873813035,-122.408650709,2009,"Sun","Weekend",10,"Mar-2009"
"285",100029922,2009-03-22,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.7873732419,-122.408713911,2009,"Sun","Weekend",11,"Mar-2009"
"286",100029923,2009-03-22,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7864776506,-122.415733618,2009,"Sun","Weekend",15,"Mar-2009"
"289",100000476,2009-03-25,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.7873933958,-122.408555906,2009,"Wed","Weekday",10,"Mar-2009"
"290",100000477,2009-03-25,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7862201252,-122.417751476,2009,"Wed","Weekday",14,"Mar-2009"
"291",100000478,2009-03-25,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7850305962,-122.41848744,2009,"Wed","Weekday",16,"Mar-2009"
"292",100000479,2009-03-25,"TWAWY ZN#1",70,"Closed",166,0,"Mar","1",37.7854387827,-122.4032419,2009,"Wed","Weekday",12,"Mar-2009"
"294",100045020,2009-03-25,"BUS ZONE",250,"Closed",90,0,"Mar","1",37.7908678246,-122.39361138,2009,"Wed","Weekday",16,"Mar-2009"
"295",100045021,2009-03-25,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7950729275,-122.399365414,2009,"Wed","Weekday",18,"Mar-2009"
"296",100000480,2009-03-26,"TWAWY ZN#1",70,"Closed",154,0,"Mar","1",37.7851566534,-122.403599293,2009,"Thurs","Weekday",16,"Mar-2009"
"297",100045022,2009-03-26,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7862562422,-122.417468501,2009,"Thurs","Weekday",9,"Mar-2009"
"298",100045023,2009-03-26,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7849948649,-122.418771703,2009,"Thurs","Weekday",14,"Mar-2009"
"299",100045024,2009-03-26,"TWAWY ZN#1",70,"Closed",25,0,"Mar","1",37.7857658024,-122.402827635,2009,"Thurs","Weekday",12,"Mar-2009"
"300",100000481,2009-03-28,"BUS ZONE",250,"Closed",4,0,"Mar","1",37.7861595114,-122.418227748,2009,"Sat","Weekend",18,"Mar-2009"
"301",100000482,2009-03-29,"DBL PARK",75,"Closed",156,0,"Mar","1",37.7899095321,-122.400777491,2009,"Sun","Weekend",13,"Mar-2009"
"302",100000483,2009-03-29,"DBL PARK",75,"Closed",27,0,"Mar","1",37.785668803,-122.413429661,2009,"Sun","Weekend",17,"Mar-2009"
"303",100000484,2009-03-29,"TWAWY ZN#1",70,"Closed",154,0,"Mar","1",37.78600379,-122.419462695,2009,"Sun","Weekend",17,"Mar-2009"
"304",100000485,2009-03-30,"BUS ZONE",250,"Closed",4,0,"Mar","1",37.786647126,-122.414405518,2009,"Mon","Weekday",13,"Mar-2009"
"305",100000487,2009-03-30,"DBL PARK",75,"Closed",27,0,"Mar","1",37.7906680933,-122.396569545,2009,"Mon","Weekday",10,"Mar-2009"
"306",100000489,2009-03-30,"BUS ZONE",250,"Closed",4,0,"Mar","1",37.7794569732,-122.410522776,2009,"Mon","Weekday",14,"Mar-2009"
"307",100000490,2009-03-30,"BUS ZONE",250,"Closed",4,0,"Mar","1",37.7876579976,-122.406481262,2009,"Mon","Weekday",9,"Mar-2009"
"308",100000491,2009-04-01,"BUS ZONE",250,"Closed",90,0,"Apr","1",37.7903495926,-122.40030448,2009,"Wed","Weekday",9,"Apr-2009"
"309",977362492,2009-04-02,"BUS ZONE",250,"Closed",123,0,"Apr","1",37.7792544491,-122.410779208,2009,"Thurs","Weekday",12,"Apr-2009"
"310",977362514,2009-04-02,"BUS ZONE",250,"Closed",115,0,"Apr","1",37.7844128665,-122.404492379,2009,"Thurs","Weekday",12,"Apr-2009"
"311",977362444,2009-04-03,"BUS ZONE",250,"Closed",123,0,"Apr","1",37.7873772727,-122.40868231,2009,"Fri","Weekday",18,"Apr-2009"
"312",977362470,2009-04-03,"BUS ZONE",250,"Closed",4,0,"Apr","1",37.78662699,-122.414563324,2009,"Fri","Weekday",18,"Apr-2009"
"313",977362503,2009-04-03,"BUS ZONE",250,"Closed",90,0,"Apr","1",37.7866511532,-122.414373957,2009,"Fri","Weekday",18,"Apr-2009"
"314",100000492,2009-04-03,"BUS ZONE",250,"Closed",90,0,"Apr","1",37.7877034575,-122.406124795,2009,"Fri","Weekday",11,"Apr-2009"
"315",100000493,2009-04-03,"BUS ZONE",250,"Closed",90,0,"Apr","1",37.7864495032,-122.415954179,2009,"Fri","Weekday",17,"Apr-2009"
"316",100000494,2009-04-03,"BUS ZONE",250,"Open",77,130,"Apr","0",37.7861475333,-122.418322744,2009,"Fri","Weekday",11,"Apr-2009"
"317",100000496,2009-04-03,"TWAWY ZN#1",70,"Closed",166,0,"Apr","1",37.7862139121,-122.40909259,2009,"Fri","Weekday",12,"Apr-2009"
"318",100000497,2009-04-03,"BUS ZONE",250,"Closed",135,0,"Apr","1",37.7869877372,-122.411735951,2009,"Fri","Weekday",13,"Apr-2009"
"319",100000499,2009-04-03,"BUS ZONE",250,"Closed",115,0,"Apr","1",37.7866229627,-122.414594885,2009,"Fri","Weekday",15,"Apr-2009"
"320",977362466,2009-04-04,"BUS ZONE",250,"Closed",90,0,"Apr","1",37.78720349,-122.410044707,2009,"Sat","Weekend",11,"Apr-2009"
"321",977362481,2009-04-04,"DBL PARK",75,"Closed",4,0,"Apr","1",37.7862843316,-122.41724841,2009,"Sat","Weekend",11,"Apr-2009"
"323",977362525,2009-04-05,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7871713487,-122.410296666,2009,"Sun","Weekend",12,"Apr-2009"
"324",977362536,2009-04-05,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7871311721,-122.410611616,2009,"Sun","Weekend",12,"Apr-2009"
"325",977362540,2009-04-05,"BUS ZONE",250,"Closed",4,0,"Apr","1",37.7910927377,-122.396031619,2009,"Sun","Weekend",10,"Apr-2009"
"326",977362562,2009-04-05,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7817713613,-122.407592196,2009,"Sun","Weekend",10,"Apr-2009"
"327",977362573,2009-04-05,"BUS ZONE",250,"Closed",90,0,"Apr","1",37.7900747527,-122.397075804,2009,"Sun","Weekend",11,"Apr-2009"
"328",977362584,2009-04-05,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7740303006,-122.417670989,2009,"Sun","Weekend",12,"Apr-2009"
"329",977362606,2009-04-05,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7910927377,-122.396031619,2009,"Sun","Weekend",10,"Apr-2009"
"330",700584205,2009-04-06,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7866350444,-122.414500202,2009,"Mon","Weekday",8,"Apr-2009"
"331",700584216,2009-04-06,"TWAWY ZN#1",70,"Closed",154,0,"Apr","1",37.7857085331,-122.413113602,2009,"Mon","Weekday",13,"Apr-2009"
"332",722351836,2009-04-06,"DBL PARK",75,"Closed",27,0,"Apr","1",37.7894841646,-122.407158722,2009,"Mon","Weekday",8,"Apr-2009"
"333",722351840,2009-04-06,"BUS ZONE",250,"Closed",4,0,"Apr","1",37.7876030027,-122.413335138,2009,"Mon","Weekday",10,"Apr-2009"
"334",722351851,2009-04-06,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7884261028,-122.415482,2009,"Mon","Weekday",10,"Apr-2009"
"335",722351862,2009-04-06,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7884140154,-122.415576492,2009,"Mon","Weekday",10,"Apr-2009"
"336",722351873,2009-04-06,"BUS ZONE",250,"Closed",148,0,"Apr","1",37.7878943279,-122.412124032,2009,"Mon","Weekday",12,"Apr-2009"
"337",722351884,2009-04-06,"TWAWY ZN#1",70,"Closed",154,0,"Apr","1",37.7882158732,-122.408514229,2009,"Mon","Weekday",10,"Apr-2009"
"338",722351895,2009-04-06,"TWAWY ZN#1",70,"Closed",25,0,"Apr","1",37.7882118255,-122.408545985,2009,"Mon","Weekday",10,"Apr-2009"
"339",722351906,2009-04-07,"BUS ZONE",250,"Closed",4,0,"Apr","1",37.7772682553,-122.413539238,2009,"Tues","Weekday",12,"Apr-2009"
"340",722351910,2009-04-07,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7854612187,-122.405608169,2009,"Tues","Weekday",8,"Apr-2009"
"341",722351921,2009-04-07,"DBL PARK",75,"Closed",27,0,"Apr","1",37.7854893534,-122.405643142,2009,"Tues","Weekday",8,"Apr-2009"
"342",700584220,2009-04-08,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7885193576,-122.414752997,2009,"Wed","Weekday",8,"Apr-2009"
"343",700584231,2009-04-08,"BUS ZONE",250,"Closed",90,0,"Apr","1",37.7870049333,-122.411601157,2009,"Wed","Weekday",9,"Apr-2009"
"344",700584242,2009-04-08,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7901587053,-122.397214808,2009,"Wed","Weekday",8,"Apr-2009"
"345",700584253,2009-04-08,"BUS ZONE",250,"Closed",115,0,"Apr","1",37.7862540162,-122.401914795,2009,"Wed","Weekday",9,"Apr-2009"
"346",700584264,2009-04-10,"BUS ZONE",250,"Closed",90,0,"Apr","1",37.786329343,-122.40817401,2009,"Fri","Weekday",11,"Apr-2009"
"347",700584286,2009-04-10,"BUS ZONE",250,"Open",4,335,"Apr","0",37.7861395482,-122.418386075,2009,"Fri","Weekday",11,"Apr-2009"
"348",722351932,2009-04-10,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7860956273,-122.418734393,2009,"Fri","Weekday",10,"Apr-2009"
"349",722351943,2009-04-10,"DBL PARK",75,"Closed",8,0,"Apr","1",37.7861315622,-122.418449405,2009,"Fri","Weekday",16,"Apr-2009"
"350",722351954,2009-04-10,"BUS ZONE",250,"Closed",4,0,"Apr","1",37.785525769,-122.414567471,2009,"Fri","Weekday",17,"Apr-2009"
"351",722351965,2009-04-10,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7856250993,-122.413777326,2009,"Fri","Weekday",19,"Apr-2009"
"352",722351976,2009-04-10,"TWAWY ZN#1",70,"Closed",166,0,"Apr","1",37.7857005869,-122.413176813,2009,"Fri","Weekday",19,"Apr-2009"
"353",722351980,2009-04-10,"DBL PARK",75,"Closed",8,0,"Apr","1",37.7871753665,-122.410265171,2009,"Fri","Weekday",15,"Apr-2009"
"354",700584290,2009-04-12,"BUS ZONE",250,"Closed",123,0,"Apr","1",37.7862855353,-122.401874901,2009,"Sun","Weekend",10,"Apr-2009"
"355",700584301,2009-04-12,"DBL PARK",75,"Closed",4,0,"Apr","1",37.7877504581,-122.400019923,2009,"Sun","Weekend",11,"Apr-2009"
"356",722351991,2009-04-12,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7868292057,-122.412978517,2009,"Sun","Weekend",11,"Apr-2009"
"357",722352002,2009-04-13,"BUS ZONE",250,"Closed",90,0,"Apr","1",37.7842516109,-122.404106752,2009,"Mon","Weekday",16,"Apr-2009"
"358",726468035,2009-04-13,"BUS ZONE",250,"Closed",98,0,"Apr","1",37.7882279656,-122.417029098,2009,"Mon","Weekday",12,"Apr-2009"
"359",726468046,2009-04-13,"TWAWY ZN#1",70,"Closed",4,0,"Apr","1",37.7856846955,-122.413303237,2009,"Mon","Weekday",16,"Apr-2009"
"360",726468282,2009-04-13,"BUS ZONE",250,"Closed",4,0,"Apr","1",37.7878155794,-122.411649424,2009,"Mon","Weekday",18,"Apr-2009"
"361",700584323,2009-04-14,"DBL PARK",75,"Closed",156,0,"Apr","1",37.7854942347,-122.414818304,2009,"Tues","Weekday",15,"Apr-2009"
"362",700584334,2009-04-14,"BUS ZONE",250,"Closed",115,0,"Apr","1",37.7869834373,-122.411769649,2009,"Tues","Weekday",13,"Apr-2009"
"363",726468050,2009-04-14,"BUS ZONE",250,"Open",4,335,"Apr","0",37.7874135496,-122.408397899,2009,"Tues","Weekday",13,"Apr-2009"
"364",726468072,2009-04-14,"DBL PARK",75,"Closed",4,0,"Apr","1",37.789579004,-122.397703778,2009,"Tues","Weekday",14,"Apr-2009"
"365",726468083,2009-04-14,"BUS ZONE",250,"Closed",4,0,"Apr","1",37.7843793515,-122.404534825,2009,"Tues","Weekday",12,"Apr-2009"
